channel_title,category,views,likes,dislikes,comment_total,day,month,weekday_weekend
478.0,3.0,0.029405470059484993,0.007716721637936399,0.001974821031843989,0.013207146242991876,4.0,0.0,0.0
760.0,8.0,0.1642257949667772,0.014618208973800485,0.03595819962149263,0.028424786282874842,4.0,1.0,0.0
895.0,3.0,0.21689821945043383,0.019497168461011887,0.009092405167448366,0.0053940077477565825,2.0,0.0,1.0
32.0,7.0,0.02713227911144536,0.025938141763644285,0.00020571052415041552,0.01979437388646431,6.0,0.0,0.0
811.0,3.0,0.924721676620836,0.4582736946916423,0.033325104912367315,0.2433024403798689,1.0,0.0,0.0
465.0,7.0,0.021709823625184515,0.010654054390441222,0.0006994157821114127,0.002190294055149643,2.0,1.0,1.0
621.0,3.0,0.5150812668264134,0.20201008152343022,0.020324199786061054,0.21141241275601103,0.0,0.0,0.0
864.0,3.0,0.08628124762480048,0.007766506938826312,0.009874105159219946,0.00521420748949803,2.0,0.0,1.0
794.0,2.0,0.2648212449845787,0.048895388636505076,0.005636468361721385,0.009333267951421238,5.0,1.0,0.0
704.0,10.0,0.0017491469283419806,9.334743916858548e-05,0.0,0.00014710930221154318,4.0,1.0,0.0
331.0,6.0,0.31628756815572506,0.06177111207915863,0.012013494610384267,0.018584808512724954,4.0,1.0,0.0
1044.0,14.0,0.21031966685201556,0.015501898064596429,0.02489097342220028,0.021281812386603243,4.0,1.0,0.0
1007.0,8.0,0.4861438360822309,0.07325907025950588,0.029375462848679337,0.02742771212344105,0.0,0.0,0.0
626.0,0.0,0.12526552230387353,0.007760283776215073,0.0041142104830083105,0.0011114925055983262,3.0,1.0,1.0
70.0,12.0,0.786669080202737,0.1762586346381231,0.057146383608985434,0.06632994981938246,6.0,0.0,0.0
1106.0,7.0,0.2599868388944671,0.17036529964527974,0.01378260511807784,0.06631360434135895,0.0,0.0,0.0
699.0,1.0,0.14859548202048972,0.1067272387827494,0.0036205052250473132,0.026463328920054263,0.0,1.0,0.0
537.0,6.0,0.06865576708443509,0.025490074055635074,0.002838805233275734,0.004266169764134752,1.0,0.0,0.0
